judul_berita,url_berita,keyword,page,tanggal_berita,published_at,scraped_at
Purbaya Ancam Sikat Oknum Bea Cukai Terlibat Peredaran Rokok Ilegal Ekonomi • 1 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250922153320-532-1276410/purbaya-ancam-sikat-oknum-bea-cukai-terlibat-peredaran-rokok-ilegal,purbaya,2,2025-09-22 16:28:44.000000,2025-09-22 16:28:44+07:00,2025-10-01 08:54:48.074617+07:00
Menkeu Purbaya soal Satgas BLBI: Kalau Cuma Buat Keributan Enggak Usah Ekonomi • 1 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250920072756-532-1275700/menkeu-purbaya-soal-satgas-blbi-kalau-cuma-buat-keributan-enggak-usah,purbaya,2,2025-09-20 07:50:00.000000,2025-09-20 07:50:00+07:00,2025-10-01 08:54:48.295212+07:00
Purbaya Tegas Tolak Tax Amnesty Jilid III: Beri Sinyal Boleh Melanggar Ekonomi • 1 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250919140705-532-1275476/purbaya-tegas-tolak-tax-amnesty-jilid-iii-beri-sinyal-boleh-melanggar,purbaya,2,2025-09-19 14:21:32.000000,2025-09-19 14:21:32+07:00,2025-10-01 08:54:48.492464+07:00
"Purbaya soal Gugatan Tutut Soeharto: Sudah Dicabut, Beliau Kirim Salam Ekonomi • 1 minggu yang lalu",https://www.cnnindonesia.com/ekonomi/20250918151932-532-1275123/purbaya-soal-gugatan-tutut-soeharto-sudah-dicabut-beliau-kirim-salam,purbaya,2,2025-09-18 15:41:16.000000,2025-09-18 15:41:16+07:00,2025-10-01 08:54:48.608264+07:00
"Purbaya: Yang Takut RI Gelap, Jangan Khawatir, Sebentar Lagi Terang Ekonomi • 1 minggu yang lalu",https://www.cnnindonesia.com/ekonomi/20250917122423-532-1274591/purbaya-yang-takut-ri-gelap-jangan-khawatir-sebentar-lagi-terang,purbaya,2,2025-09-17 12:39:25.000000,2025-09-17 12:39:25+07:00,2025-10-01 08:54:48.737784+07:00
Purbaya Bersuara Saat Kebijakannya Dibandingkan dengan Sri Mulyani Ekonomi • 1 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250917103601-532-1274537/purbaya-bersuara-saat-kebijakannya-dibandingkan-dengan-sri-mulyani,purbaya,2,2025-09-17 10:50:07.000000,2025-09-17 10:50:07+07:00,2025-10-01 08:54:48.860762+07:00
"01:59 VIDEO: Purbaya: Dirut Bank Himbara Pusing, Saya Suruh Mereka Mikir TV • 2 minggu yang lalu",https://www.cnnindonesia.com/tv/20250916111325-400-1274175/video-purbaya-dirut-bank-himbara-pusing-saya-suruh-mereka-mikir,purbaya,2,2025-09-16 11:15:45.000000,2025-09-16 11:15:45+07:00,2025-10-01 08:54:48.973259+07:00
Purbaya Pede Defisit APBN Tak Melebar Gara-gara Stimulus Ekonomi Ekonomi • 2 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250915175909-532-1273968/purbaya-pede-defisit-apbn-tak-melebar-gara-gara-stimulus-ekonomi,purbaya,2,2025-09-15 21:00:45.000000,2025-09-15 21:00:45+07:00,2025-10-01 08:54:49.091970+07:00
Purbaya Sebut Ada Bank Ngaku Tak Sanggup Serap Uang Pemerintah Rp200 T Ekonomi • 2 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250915183126-532-1273985/purbaya-sebut-ada-bank-ngaku-tak-sanggup-serap-uang-pemerintah-rp200-t,purbaya,2,2025-09-15 19:04:47.000000,2025-09-15 19:04:47+07:00,2025-10-01 08:54:49.213245+07:00
"Purbaya Guyur Bank Rp200 T, Zulhas Singgung Jatah Kopdes Merah Putih Ekonomi • 2 minggu yang lalu",https://www.cnnindonesia.com/ekonomi/20250915134736-92-1273846/purbaya-guyur-bank-rp200-t-zulhas-singgung-jatah-kopdes-merah-putih,purbaya,3,2025-09-15 19:03:22.000000,2025-09-15 19:03:22+07:00,2025-10-01 08:54:55.171422+07:00
